class	score
0	-0.207735632
0	-0.209033973
0	-0.209583314
0	-0.210021283
0	-0.212061295
0	-0.212609387
0	-0.213214695
0	-0.213483612
0	-0.215142698
0	-0.215521486
0	-0.215627443
0	-0.217321733
0	-0.217676813
0	-0.217741793
0	-0.217763877
0	-0.218660879
0	-0.219546608
0	-0.219766798
0	-0.219794269
0	-0.220396081
0	-0.220542582
0	-0.220660083
0	-0.221043017
0	-0.222166165
0	-0.22373556
0	-0.223758183
0	-0.223867734
0	-0.223917649
0	-0.224118516
0	-0.224971994
0	-0.225465415
0	-0.225903649
0	-0.227899942
0	-0.228371331
0	-0.229001351
0	-0.230789466
0	-0.231045865
0	-0.231417535
0	-0.231592112
0	-0.231633912
0	-0.232003998
0	-0.232597891
0	-0.234479024
0	-0.235340394
0	-0.235341857
0	-0.236028403
0	-0.237509513
0	-0.237851367
0	-0.237927078
0	-0.237967931
0	-0.238091204
0	-0.238729244
0	-0.239609362
0	-0.241037435
0	-0.242865921
0	-0.243148346
0	-0.243278384
0	-0.24461365
0	-0.244912349
0	-0.245605218
0	-0.245719201
0	-0.245933961
0	-0.246010268
0	-0.2463791
0	-0.246928107
0	-0.246962093
0	-0.247532569
0	-0.247786818
0	-0.248242012
0	-0.248949929
0	-0.250199258
0	-0.251010869
0	-0.25185221
0	-0.252532058
0	-0.252787731
0	-0.253330266
0	-0.253896201
0	-0.253937344
0	-0.253962665
0	-0.254749258
0	-0.256060383
0	-0.256788043
0	-0.257137536
0	-0.257654108
0	-0.259466115
0	-0.259490603
0	-0.261215111
0	-0.262759053
0	-0.265943619
0	-0.266009941
0	-0.266174349
0	-0.267003434
0	-0.267533401
0	-0.268476277
0	-0.269362584
0	-0.269489205
0	-0.271446673
0	-0.271508807
0	-0.272533913
0	-0.273114532
0	-0.273268108
0	-0.273344963
0	-0.274875102
0	-0.275277587
0	-0.277516416
0	-0.277851102
0	-0.278824338
0	-0.279957601
0	-0.281083372
0	-0.282395686
0	-0.282484841
0	-0.28410559
0	-0.285131462
0	-0.286580045
0	-0.286752056
0	-0.287597135
0	-0.288408396
0	-0.288442401
0	-0.288885361
0	-0.288923538
0	-0.289499172
0	-0.289987758
0	-0.290205675
0	-0.290308418
0	-0.292312656
0	-0.294684991
0	-0.295969013
0	-0.299852087
0	-0.299921269
0	-0.300505852
0	-0.301277696
0	-0.301540973
0	-0.30162763
0	-0.303898008
0	-0.303915595
0	-0.303971099
0	-0.306133362
0	-0.306397339
0	-0.306832463
0	-0.308926386
0	-0.310504828
0	-0.310622042
0	-0.310672821
0	-0.311456
0	-0.312161444
0	-0.312663863
0	-0.312877954
0	-0.31405351
0	-0.315378545
0	-0.315937452
0	-0.316397276
0	-0.316654908
0	-0.316746355
0	-0.318022422
0	-0.318110281
0	-0.318273455
0	-0.31899803
0	-0.320242319
0	-0.320251615
0	-0.320946088
0	-0.32112487
0	-0.322989886
0	-0.324458677
0	-0.325415261
0	-0.325806091
0	-0.326361663
0	-0.326526032
0	-0.326738326
0	-0.327489245
0	-0.328584578
0	-0.330320616
0	-0.331901985
0	-0.33427416
0	-0.334838276
0	-0.335349873
0	-0.337931417
0	-0.338869993
0	-0.339569331
0	-0.339637828
0	-0.341421374
0	-0.342102534
0	-0.342822887
0	-0.344319545
0	-0.34504317
0	-0.345423267
0	-0.345742239
0	-0.346497019
0	-0.3485385
0	-0.350058011
0	-0.351521988
0	-0.352394857
0	-0.353850785
0	-0.355990138
0	-0.356189054
0	-0.357355153
0	-0.358838096
0	-0.360413039
0	-0.360490929
0	-0.36115234
0	-0.362265126
0	-0.36326775
0	-0.36654792
0	-0.367093766
0	-0.369690133
0	-0.369856831
0	-0.371301363
0	-0.371467265
0	-0.376399288
0	-0.376652034
0	-0.378426043
0	-0.37859708
0	-0.37914359
0	-0.379933346
0	-0.381478202
0	-0.382538467
0	-0.382561991
0	-0.384154745
0	-0.388128894
0	-0.39039612
0	-0.390877018
0	-0.391285411
0	-0.391433116
0	-0.391764098
0	-0.394185787
0	-0.395821102
0	-0.397236796
0	-0.397494995
0	-0.398563401
0	-0.398708437
0	-0.398782681
0	-0.399325049
0	-0.399558024
0	-0.400860563
0	-0.406887213
0	-0.40809224
0	-0.409316392
0	-0.410381452
0	-0.41196039
0	-0.415934509
0	-0.418010277
0	-0.41801774
0	-0.422070805
0	-0.422150012
0	-0.422259977
0	-0.422789412
0	-0.424386949
0	-0.424671093
0	-0.425297049
0	-0.426808269
0	-0.426909278
0	-0.427059746
0	-0.427433315
